Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,94.69999999999999,70.91,90.69,85.43
KNN,SMOTE,93.67,68.83,85.94000000000001,82.81
KNN,SMOTE NC,93.33,69.25,86.56,83.05
KNN,ADASYN,93.11,65.52,85.34,81.32
KNN,Near Miss,82.89,60.629999999999995,81.44,74.99
KNN,Tomek Links,94.64,71.71,89.82,85.39
KNN,ENN,92.92,75.07000000000001,83.88,83.96
KNN,SMOTE ENN,91.27,69.75,83.43,81.48
KNN,SMOTE Tomek,93.75,68.51,85.72999999999999,82.66
Random Forest,Origin,98.4,87.62,96.86,94.29
Random Forest,SMOTE,98.34,86.86,96.78999999999999,94.0
Random Forest,SMOTE NC,98.25,86.39,96.52,93.72
Random Forest,ADASYN,98.41,87.22,96.72,94.12
Random Forest,Near Miss,96.72,75.98,94.69,89.13
Random Forest,Tomek Links,98.38,87.55,96.81,94.25
Random Forest,ENN,98.19,87.47,95.46,93.71
Random Forest,SMOTE ENN,98.08,87.03999999999999,96.41999999999999,93.85
Random Forest,SMOTE Tomek,98.34,86.88,96.72,93.98
MLP,Origin,98.31,87.68,96.61999999999999,94.2
MLP,SMOTE,98.04,85.65,95.78,93.16
MLP,SMOTE NC,98.21,84.63000000000001,95.42,92.75
MLP,ADASYN,98.21,84.94,95.71,92.95
MLP,Near Miss,96.15,69.78,90.3,85.41
MLP,Tomek Links,98.31,87.76,96.55,94.21
MLP,ENN,98.08,87.55,95.77,93.8
MLP,SMOTE ENN,97.96000000000001,85.16,95.7,92.94
MLP,SMOTE Tomek,98.21,85.69,96.03,93.31
SVM,Origin,98.16,86.72,96.23,93.7
SVM,SMOTE,98.11,85.63,95.98,93.24
SVM,SMOTE NC,98.13,85.2,96.0,93.11
SVM,ADASYN,98.18,85.32,95.72,93.07
SVM,Near Miss,94.19,61.11,86.96000000000001,80.75
SVM,Tomek Links,98.14,86.79,96.26,93.73
SVM,ENN,97.88,86.69,95.96000000000001,93.51
SVM,SMOTE ENN,97.91,85.78,95.85000000000001,93.18
SVM,SMOTE Tomek,98.11,85.7,96.03,93.28
