Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,98.61999999999999,25.31,77.75,67.23
KNN,SMOTE,90.55,41.0,71.82,67.79
KNN,SMOTE NC,91.31,39.54,72.74000000000001,67.86
KNN,ADASYN,88.25,34.1,73.45,65.27
KNN,Near Miss,64.87,43.1,61.72,56.56
KNN,Tomek Links,98.58,29.29,74.72,67.53
KNN,ENN,95.13000000000001,53.559999999999995,63.56,70.75
KNN,SMOTE ENN,90.18,51.05,67.58,69.6
KNN,SMOTE Tomek,91.27,40.589999999999996,71.75,67.87
Random Forest,Origin,100.0,54.81,75.07000000000001,76.63
Random Forest,SMOTE,100.0,50.839999999999996,78.74,76.53
Random Forest,SMOTE NC,100.0,55.230000000000004,73.09,76.11
Random Forest,ADASYN,100.0,51.25999999999999,78.60000000000001,76.62
Random Forest,Near Miss,91.75,54.17999999999999,64.05,69.99
Random Forest,Tomek Links,100.0,57.11000000000001,73.59,76.9
Random Forest,ENN,96.91,69.67,66.10000000000001,77.56
Random Forest,SMOTE ENN,99.92999999999999,54.81,75.28,76.67
Random Forest,SMOTE Tomek,100.0,51.25999999999999,78.67,76.64
MLP,Origin,99.82,38.080000000000005,84.53,74.14
MLP,SMOTE,95.64,61.72,70.89999999999999,76.09
MLP,SMOTE NC,93.71000000000001,56.69,75.42,75.27
MLP,ADASYN,95.27,47.28,80.65,74.4
MLP,Near Miss,72.55,54.81,56.92,61.43
MLP,Tomek Links,99.92999999999999,43.72,81.21000000000001,74.95
MLP,ENN,98.25,66.32000000000001,64.41,76.33
MLP,SMOTE ENN,93.38,58.160000000000004,72.03,74.52
MLP,SMOTE Tomek,96.39999999999999,53.559999999999995,75.99000000000001,75.32
SVM,Origin,98.33,65.27,67.66,77.09
SVM,SMOTE,96.55,61.919999999999995,71.19,76.55
SVM,SMOTE NC,95.56,62.55,71.61,76.57
SVM,ADASYN,94.84,55.65,75.49,75.33
SVM,Near Miss,66.51,55.02,57.91,59.81
SVM,Tomek Links,98.36,66.11,67.16,77.21
SVM,ENN,95.75,71.55,64.83,77.38
SVM,SMOTE ENN,95.75,64.02,70.27,76.68
SVM,SMOTE Tomek,96.61999999999999,60.88,71.12,76.21
