Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,88.47,1.26,26.400000000000002,38.71
KNN,SMOTE,69.25,5.1,34.449999999999996,36.27
KNN,SMOTE NC,70.93,5.489999999999999,35.31,37.24
KNN,ADASYN,67.77,5.55,32.25,35.19
KNN,Near Miss,50.339999999999996,5.7,21.63,25.89
KNN,Tomek Links,89.23,0.65,24.09,37.99
KNN,ENN,89.82,5.34,9.139999999999999,34.77
KNN,SMOTE ENN,62.01,5.66,35.449999999999996,34.37
KNN,SMOTE Tomek,68.37,5.1499999999999995,34.239999999999995,35.92
Random Forest,Origin,83.12,3.7800000000000002,44.67,43.86
Random Forest,SMOTE,85.82,0.8500000000000001,44.61,43.76
Random Forest,SMOTE NC,82.19999999999999,6.890000000000001,43.21,44.1
Random Forest,ADASYN,84.82,0.0,44.019999999999996,42.95
Random Forest,Near Miss,35.78,5.4,19.189999999999998,20.12
Random Forest,Tomek Links,83.61,3.95,44.55,44.04
Random Forest,ENN,87.08,6.83,27.26,40.39
Random Forest,SMOTE ENN,81.03,4.130000000000001,44.84,43.33
Random Forest,SMOTE Tomek,85.25,0.0,44.36,43.2
MLP,Origin,90.24,0.0,27.800000000000004,39.35
MLP,SMOTE,76.78,6.21,42.620000000000005,41.87
MLP,SMOTE NC,71.69,5.84,41.81,39.78
MLP,ADASYN,77.14,6.529999999999999,41.15,41.61
MLP,Near Miss,35.82,5.27,18.96,20.02
MLP,Tomek Links,90.23,0.18,30.85,40.42
MLP,ENN,90.36999999999999,5.510000000000001,14.75,36.88
MLP,SMOTE ENN,65.93,6.239999999999999,40.79,37.65
MLP,SMOTE Tomek,76.41,6.329999999999999,41.22,41.32
SVM,Origin,74.0,6.15,41.13,40.43
SVM,SMOTE,74.58,6.909999999999999,43.230000000000004,41.57
SVM,SMOTE NC,72.96000000000001,6.7,42.28,40.65
SVM,ADASYN,73.74000000000001,6.419999999999999,41.47,40.54
SVM,Near Miss,35.82,5.38,17.810000000000002,19.67
SVM,Tomek Links,74.57000000000001,6.43,42.22,41.07
SVM,ENN,77.64999999999999,6.63,31.990000000000002,38.76
SVM,SMOTE ENN,72.45,6.68,43.37,40.83
SVM,SMOTE Tomek,73.97,6.43,43.08,41.16
