Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,84.66,5.13,34.239999999999995,41.34
KNN,SMOTE,90.42,2.88,26.11,39.8
KNN,SMOTE NC,90.10000000000001,3.1300000000000003,27.08,40.1
KNN,ADASYN,89.86,3.1199999999999997,24.2,39.06
KNN,Near Miss,90.53,3.0300000000000002,16.56,36.71
KNN,Tomek Links,84.31,3.2300000000000004,37.72,41.75
KNN,ENN,83.84,4.6899999999999995,49.480000000000004,46.0
KNN,SMOTE ENN,93.4,3.09,26.229999999999997,40.91
KNN,SMOTE Tomek,90.36999999999999,2.8899999999999997,25.97,39.74
Random Forest,Origin,91.25,3.4799999999999995,34.300000000000004,43.01
Random Forest,SMOTE,89.77000000000001,7.249999999999999,36.07,44.36
Random Forest,SMOTE NC,90.99000000000001,4.14,38.26,44.46
Random Forest,ADASYN,90.03999999999999,0.0,34.44,41.49
Random Forest,Near Miss,93.32000000000001,2.81,16.84,37.66
Random Forest,Tomek Links,90.66,3.6999999999999997,34.870000000000005,43.08
Random Forest,ENN,87.97,4.04,52.53,48.18
Random Forest,SMOTE ENN,92.29,3.6900000000000004,32.85,42.94
Random Forest,SMOTE Tomek,89.91,0.0,35.160000000000004,41.69
MLP,Origin,84.78999999999999,0.0,47.69,44.16
MLP,SMOTE,92.47999999999999,3.58,34.1,43.39
MLP,SMOTE NC,93.10000000000001,3.2300000000000004,33.64,43.32
MLP,ADASYN,92.27,3.8699999999999997,31.990000000000002,42.71
MLP,Near Miss,93.22,2.74,19.63,38.53
MLP,Tomek Links,85.17,5.0,48.15,46.11
MLP,ENN,84.28,5.63,55.83,48.58
MLP,SMOTE ENN,95.39,3.37,32.379999999999995,43.71
MLP,SMOTE Tomek,92.38,3.5700000000000003,34.75,43.57
SVM,Origin,93.61,3.49,31.8,42.97
SVM,SMOTE,93.66,3.8899999999999997,34.43,43.99
SVM,SMOTE NC,93.4,3.6999999999999997,35.0,44.03
SVM,ADASYN,93.83,3.62,32.41,43.29
SVM,Near Miss,93.06,2.8000000000000003,15.790000000000001,37.22
SVM,Tomek Links,93.21000000000001,3.65,33.19,43.35
SVM,ENN,91.99000000000001,3.58,44.7,46.76
SVM,SMOTE ENN,94.6,3.6999999999999997,34.42,44.24
SVM,SMOTE Tomek,93.84,3.58,34.9,44.11
