Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,92.63,0.72,21.490000000000002,38.28
KNN,SMOTE,56.11000000000001,22.39,50.63999999999999,43.05
KNN,SMOTE NC,58.489999999999995,22.66,50.73,43.96
KNN,ADASYN,54.400000000000006,24.82,48.32,42.51
KNN,Near Miss,34.870000000000005,47.839999999999996,31.180000000000003,37.96
KNN,Tomek Links,94.76,0.36,17.69,37.6
KNN,ENN,96.72,6.21,5.04,35.99
KNN,SMOTE ENN,46.410000000000004,33.81,54.66,44.96
KNN,SMOTE Tomek,54.98,23.74,50.23,42.98
Random Forest,Origin,76.33,4.14,64.03999999999999,48.17
Random Forest,SMOTE,82.21000000000001,0.44999999999999996,58.45,47.04
Random Forest,SMOTE NC,74.96000000000001,20.59,49.64,48.4
Random Forest,ADASYN,80.17,0.0,61.0,47.06
Random Forest,Near Miss,22.13,67.27,22.31,37.24
Random Forest,Tomek Links,77.58,4.2299999999999995,61.67,47.83
Random Forest,ENN,86.2,22.21,18.41,42.27
Random Forest,SMOTE ENN,72.22,4.68,70.61,49.17
Random Forest,SMOTE Tomek,81.04,0.0,60.089999999999996,47.04
MLP,Origin,96.44,0.0,19.62,38.69
MLP,SMOTE,65.64,23.29,56.830000000000005,48.59
MLP,SMOTE NC,58.28,30.31,55.22,47.94
MLP,ADASYN,66.27,20.95,57.68,48.3
MLP,Near Miss,22.17,71.76,18.33,37.42
MLP,Tomek Links,95.93,0.09,22.7,39.57
MLP,ENN,97.39999999999999,5.4,8.5,37.1
MLP,SMOTE ENN,50.370000000000005,41.19,55.1,48.89
MLP,SMOTE Tomek,65.14,28.15,50.64999999999999,47.98
SVM,Origin,61.18,25.72,58.19,48.36
SVM,SMOTE,61.96,30.94,58.07,50.32
SVM,SMOTE NC,59.86,35.43,53.38,49.56
SVM,ADASYN,60.74,28.51,57.57,48.94
SVM,Near Miss,22.18,67.45,20.44,36.69
SVM,Tomek Links,62.13999999999999,27.07,58.01,49.07
SVM,ENN,67.17999999999999,44.42,24.9,45.5
SVM,SMOTE ENN,58.709999999999994,33.989999999999995,58.63,50.44
SVM,SMOTE Tomek,61.040000000000006,31.380000000000003,56.25,49.56
