Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,52.910000000000004,0.76,15.75,23.14
KNN,SMOTE,54.290000000000006,4.51,18.060000000000002,25.62
KNN,ADASYN,54.08,4.24,18.25,25.52
KNN,Near Miss,52.14,6.09,17.43,25.22
KNN,Tomek Links,53.459999999999994,1.72,16.919999999999998,24.03
KNN,ENN,66.08000000000001,13.98,37.04,39.03
KNN,SMOTE ENN,67.5,13.83,31.31,37.55
KNN,SMOTE Tomek,53.53,4.2299999999999995,16.650000000000002,24.8
Random Forest,Origin,66.67,17.06,32.37,38.7
Random Forest,SMOTE,65.53999999999999,20.53,34.06,40.04
Random Forest,ADASYN,66.91,20.48,34.82,40.74
Random Forest,Near Miss,41.63,6.260000000000001,24.01,23.97
Random Forest,Tomek Links,66.34,15.709999999999999,31.680000000000003,37.91
Random Forest,ENN,68.77,15.4,42.42,42.2
Random Forest,SMOTE ENN,68.89999999999999,17.72,34.699999999999996,40.44
Random Forest,SMOTE Tomek,65.79,19.96,33.4,39.72
MLP,Origin,58.29,33.33,39.78,43.8
MLP,SMOTE,68.51,19.28,38.51,42.1
MLP,ADASYN,66.36,20.95,38.56,41.96
MLP,Near Miss,54.21,7.4399999999999995,34.53,32.06
MLP,Tomek Links,58.550000000000004,28.57,39.739999999999995,42.29
MLP,ENN,66.13,15.160000000000002,50.0,43.76
MLP,SMOTE ENN,68.89999999999999,14.29,37.89,40.36
MLP,SMOTE Tomek,67.10000000000001,18.060000000000002,39.39,41.52
SVM,Origin,69.53,18.84,38.35,42.24
SVM,SMOTE,69.1,18.240000000000002,37.51,41.62
SVM,ADASYN,69.43,18.33,37.1,41.62
SVM,Near Miss,55.85,7.37,33.93,32.38
SVM,Tomek Links,68.69,18.82,38.519999999999996,42.01
SVM,ENN,68.54,16.85,37.86,41.08
SVM,SMOTE ENN,68.85,18.25,38.04,41.71
SVM,SMOTE Tomek,69.19999999999999,18.45,37.26,41.64
