Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,45.910000000000004,43.8,38.7,42.8
KNN,SMOTE,44.5,43.96,35.96,41.47
KNN,ADASYN,44.41,43.56,36.39,41.45
KNN,Near Miss,40.300000000000004,34.849999999999994,41.25,38.8
KNN,Tomek Links,47.760000000000005,45.07,41.11,44.65
KNN,ENN,58.550000000000004,60.480000000000004,49.99,56.34
KNN,SMOTE ENN,58.14,55.85,50.160000000000004,54.72
KNN,SMOTE Tomek,44.84,43.88,36.34,41.69
Random Forest,Origin,62.18,62.01,49.4,57.86
Random Forest,SMOTE,61.39,62.64999999999999,50.29,58.11
Random Forest,ADASYN,62.51,63.349999999999994,50.63999999999999,58.83
Random Forest,Near Miss,39.96,30.65,50.24999999999999,40.29
Random Forest,Tomek Links,62.3,61.419999999999995,49.97,57.9
Random Forest,ENN,63.72,66.8,55.60000000000001,62.04
Random Forest,SMOTE ENN,62.99,62.96000000000001,54.44,60.13
Random Forest,SMOTE Tomek,62.12,62.660000000000004,50.19,58.32
MLP,Origin,63.44,65.86,59.8,63.03
MLP,SMOTE,63.1,65.68,56.85,61.88
MLP,ADASYN,63.44,66.47,57.66,62.52
MLP,Near Miss,49.01,38.14,54.64,47.26
MLP,Tomek Links,63.080000000000005,65.59,59.5,62.72
MLP,ENN,62.339999999999996,64.1,57.79,61.41
MLP,SMOTE ENN,62.63999999999999,64.75999999999999,57.26,61.55
MLP,SMOTE Tomek,63.09,65.48,56.84,61.8
SVM,Origin,62.88,67.13,59.14,63.05
SVM,SMOTE,62.68,66.64999999999999,56.54,61.96
SVM,ADASYN,63.019999999999996,67.08,57.05,62.38
SVM,Near Miss,43.63,36.809999999999995,47.79,42.74
SVM,Tomek Links,62.78,67.07,59.07,62.97
SVM,ENN,62.61,63.629999999999995,58.19,61.48
SVM,SMOTE ENN,62.78,65.95,56.49999999999999,61.74
SVM,SMOTE Tomek,62.6,66.64,56.230000000000004,61.82
