Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,56.46,10.57,27.6,31.54
KNN,SMOTE,57.18,10.31,26.540000000000003,31.34
KNN,ADASYN,56.99999999999999,10.290000000000001,26.66,31.32
KNN,Near Miss,52.82,9.16,28.249999999999996,30.08
KNN,Tomek Links,57.830000000000005,10.67,28.249999999999996,32.25
KNN,ENN,63.39,14.57,31.509999999999998,36.49
KNN,SMOTE ENN,64.03,12.83,31.180000000000003,36.01
KNN,SMOTE Tomek,57.220000000000006,10.32,26.71,31.42
Random Forest,Origin,70.06,15.06,31.36,38.83
Random Forest,SMOTE,69.17999999999999,16.009999999999998,31.64,38.94
Random Forest,ADASYN,69.87,16.21,31.47,39.18
Random Forest,Near Miss,51.27,7.8,29.509999999999998,29.53
Random Forest,Tomek Links,70.19,14.59,31.669999999999998,38.82
Random Forest,ENN,70.24000000000001,19.81,35.91,41.99
Random Forest,SMOTE ENN,70.0,16.33,34.33,40.22
Random Forest,SMOTE Tomek,69.62,15.959999999999999,31.31,38.96
MLP,Origin,69.42,20.13,38.37,42.64
MLP,SMOTE,69.22,19.86,36.75,41.94
MLP,ADASYN,69.78999999999999,20.23,37.08,42.37
MLP,Near Miss,55.900000000000006,9.030000000000001,34.58,33.17
MLP,Tomek Links,69.15,19.939999999999998,37.92,42.34
MLP,ENN,68.42,18.92,37.16,41.5
MLP,SMOTE ENN,68.91000000000001,19.009999999999998,37.16,41.69
MLP,SMOTE Tomek,69.42,19.57,37.12,42.04
SVM,Origin,68.65,20.34,38.2,42.4
SVM,SMOTE,68.54,19.830000000000002,37.01,41.79
SVM,ADASYN,68.83,20.16,37.34,42.11
SVM,Near Miss,53.1,8.48,29.54,30.37
SVM,Tomek Links,68.51,20.21,38.14,42.29
SVM,ENN,67.91,18.709999999999997,37.36,41.33
SVM,SMOTE ENN,68.56,19.580000000000002,36.97,41.7
SVM,SMOTE Tomek,68.4,19.869999999999997,36.89,41.72
